,incident_id,incident_date,state,city_county,street_address,killed,injured,full_address,lat,long
208,2049907,"June 30, 2021",Louisiana,Marrero,6500  Lapalco Blvd,0,4,"6500  Lapalco Blvd, Marrero Louisiana",29.876580616726216,-90.11891607303771
209,2050167,"June 30, 2021",Delaware,Dover,100  S New St,1,3,"100  S New St, Dover Delaware",39.158215,-75.528611
210,2049845,"June 30, 2021",Texas,Houston,12101 Fondren Rd,3,1,"12101 Fondren Rd, Houston Texas",29.6560782,-95.5083596
211,2046714,"June 27, 2021",Illinois,Chicago,2000  E 71st St,1,5,"2000  E 71st St, Chicago Illinois",41.7664771,-87.57593307578409
212,2046574,"June 27, 2021",Illinois,Saint Charles,2051 Lincoln Hwy,1,3,"2051 Lincoln Hwy, Saint Charles Illinois",41.9002089072569,-88.33586741687688
213,2046897,"June 27, 2021",Illinois,Chicago,6300  South Artesian Ave,1,10,"6300  South Artesian Ave, Chicago Illinois",41.779116,-87.684969
214,2047170,"June 27, 2021",Tennessee,Memphis,2500  Dunn Ave,3,1,"2500  Dunn Ave, Memphis Tennessee",35.091361,-89.976964
215,2047726,"June 27, 2021",North Carolina,Greensboro,801 Province Spring Cir,0,4,"801 Province Spring Cir, Greensboro North Carolina",36.06635433410805,-79.80110261485558
216,2046781,"June 26, 2021",Texas,Houston,4902 Laura Koppe Rd,1,3,"4902 Laura Koppe Rd, Houston Texas",29.840452224489795,-95.31878469387755
217,2045579,"June 26, 2021",Illinois,Chicago,6100  N McCormick Blvd,1,3,"6100  N McCormick Blvd, Chicago Illinois",Not Found,Not Found
218,2047787,"June 26, 2021",Alabama,Fort Deposit,Forest Dr,1,3,"Forest Dr, Fort Deposit Alabama",31.9891422,-86.5773394
219,2045043,"June 25, 2021",Ohio,Columbus,I-670 and Neil Ave,0,4,"I-670 and Neil Ave, Columbus Ohio",39.9851973,-83.0126614
220,2045564,"June 25, 2021",Illinois,Chicago,7000  S Indiana Ave,0,4,"7000  S Indiana Ave, Chicago Illinois",41.76731,-87.620269
221,2044701,"June 25, 2021",New York,Bronx,Zerega Ave and Watson Ave,0,5,"Zerega Ave and Watson Ave, Bronx New York",Not Found,Not Found
222,2044733,"June 24, 2021",Florida,Gainesville,4701 NW 6th St,1,4,"4701 NW 6th St, Gainesville Florida",29.69833045959596,-82.33794441414142
223,2043834,"June 23, 2021",Alabama,Montgomery,100  Rotary St,2,2,"100  Rotary St, Montgomery Alabama",32.41948,-86.282663
