,index,incident_id,incident_date,state,city_county,street_address,killed,injured,full_address,lat,long
22,125,1499300,"September 7, 2019",North Carolina,Whiteville,Brittany Ln,3,1,"Brittany Ln, Whiteville North Carolina",34.2481902,-78.6850442
23,126,1497702,"September 4, 2019",Louisiana,Marrero,3044 Sorbonne Dr,2,2,"3044 Sorbonne Dr, Marrero Louisiana",29.8508633,-90.1192308
24,136,1492377,"August 31, 2019",South Carolina,Moncks Corner,336 Maplewood Rd,0,4,"336 Maplewood Rd, Moncks Corner South Carolina",33.156254,-80.0383634
25,147,1487356,"August 24, 2019",Maryland,Temple Hills (Camp Springs),6200  Maxwell Dr,0,7,"6200  Maxwell Dr, Temple Hills (Camp Springs) Maryland",38.8174429,-76.8985587
26,160,1479395,"August 13, 2019",Washington,Tacoma,E 38th St and E Roosevelt Ave,2,3,"E 38th St and E Roosevelt Ave, Tacoma Washington",47.22308899999999,-122.398824
27,168,1527721,"August 4, 2019",Louisiana,Lake Charles,110 Pryce St,0,4,"110 Pryce St, Lake Charles Louisiana",30.234419,-93.2177159
28,178,1461352,"July 28, 2019",Wisconsin,Chippewa Falls,16964 54th Ave,5,2,"16964 54th Ave, Chippewa Falls Wisconsin",44.9205224,-91.32783909999999
29,184,1457165,"July 25, 2019",California,Canoga Park,21901 Roscoe Boulevard,4,2,"21901 Roscoe Boulevard, Canoga Park California",34.220124,-118.6047055
30,191,1450124,"July 17, 2019",Texas,Lubbock,N Elder Ave and E Colgate St,1,3,"N Elder Ave and E Colgate St, Lubbock Texas",33.6024732,-101.8029804
31,198,1441967,"July 8, 2019",District of Columbia,Washington,3900 Martin Luther King Jr Ave SW,2,2,"3900 Martin Luther King Jr Ave SW, Washington District of Columbia",38.8324029,-77.0087428
32,199,1441565,"July 7, 2019",Michigan,Flint,Clio Rd and Myrtle St,0,6,"Clio Rd and Myrtle St, Flint Michigan",43.0503962,-83.73268619999999
33,200,1441613,"July 7, 2019",Missouri,Saint Louis,N Tucker Blvd and Convention Plaza,0,5,"N Tucker Blvd and Convention Plaza, Saint Louis Missouri",38.6332014,-90.19611049999999
34,209,1440257,"July 5, 2019",New York,Brooklyn,Elton St and Belmont Ave,0,4,"Elton St and Belmont Ave, Brooklyn New York",40.6724642,-73.883074
35,214,1439042,"July 3, 2019",Texas,Katy,5507 Everhart Manor Ln,2,3,"5507 Everhart Manor Ln, Katy Texas",29.7177492,-95.7969688
36,220,1435578,"June 30, 2019",New York,Bay Shore,Farragut Ave,0,6,"Farragut Ave, Bay Shore New York",40.74698799999999,-73.26109919999999
37,221,1435041,"June 29, 2019",Connecticut,Hartford,Judson St and Martin St,0,4,"Judson St and Martin St, Hartford Connecticut",41.7893425,-72.6799544
38,222,1435297,"June 29, 2019",Louisiana,Gray,2700  W Park Ave,0,4,"2700  W Park Ave, Gray Louisiana",29.70844809999999,-90.7912856
39,227,1434971,"June 28, 2019",Georgia,Atlanta,Ira St and Bass St SW,0,7,"Ira St and Bass St SW, Atlanta Georgia",33.7356464,-84.3999789
40,230,1432989,"June 27, 2019",Georgia,Atlanta,600  Parkway Dr,0,7,"600  Parkway Dr, Atlanta Georgia",33.7708803,-84.3730704
41,238,1429399,"June 22, 2019",Virginia,Hampton,1st St and E Pembroke Ave,0,4,"1st St and E Pembroke Ave, Hampton Virginia",37.034294,-76.327798
42,243,1428047,"June 21, 2019",California,Santa Maria,519  West Taylor St,5,0,"519  West Taylor St, Santa Maria California",34.975691,-120.440787
43,247,1425161,"June 17, 2019",Texas,San Antonio,E Market St and Tower of the Americas Way,0,4,"E Market St and Tower of the Americas Way, San Antonio Texas",29.4213971,-98.48100219999999
44,250,1423330,"June 16, 2019",Kentucky,Louisville,Dixie Highway and Ormsby Ave,1,6,"Dixie Highway and Ormsby Ave, Louisville Kentucky",38.2354477,-85.7875766
45,255,1420432,"June 11, 2019",Georgia,Savannah,6900 Block of Damascus Rd,2,2,"6900 Block of Damascus Rd, Savannah Georgia",32.0044661,-81.0727251
46,259,1418180,"June 8, 2019",Washington,White Swan,5151 Medicine Valley Rd,5,2,"5151 Medicine Valley Rd, White Swan Washington",46.4225286,-120.823627
47,269,1412430,"June 1, 2019",Georgia,Macon,Suzanne Dr and Robinson Dr,2,4,"Suzanne Dr and Robinson Dr, Macon Georgia",32.842935,-83.69167159999999
48,277,1407189,"May 27, 2019",New Jersey,Trenton,100  Walnut St,1,5,"100  Walnut St, Trenton New Jersey",40.2209688,-74.7489086
49,279,1405749,"May 26, 2019",Virginia,La Crosse,800  Alvis Road,0,5,"800  Alvis Road, La Crosse Virginia",36.6091459,-78.027849
50,283,1405196,"May 25, 2019",Virginia,Chesapeake,Holly Cove Dr and Schooner Trail,1,9,"Holly Cove Dr and Schooner Trail, Chesapeake Virginia",36.79987060000001,-76.39959
51,285,1405221,"May 25, 2019",Oklahoma,Oklahoma City,N Kelley Ave and NE 26th St,0,5,"N Kelley Ave and NE 26th St, Oklahoma City Oklahoma",35.4968358,-97.4944349
52,290,1399017,"May 18, 2019",Mississippi,Cascilla,700 Leverette Ln,1,4,"700 Leverette Ln, Cascilla Mississippi",33.8848664,-90.1201993
53,301,1393960,"May 13, 2019",Louisiana,New Orleans,2100  4th St,0,4,"2100  4th St, New Orleans Louisiana",29.9355721,-90.0882232
54,303,1392923,"May 11, 2019",Pennsylvania,Effort,Toll Rd and Bayberry Rd,0,4,"Toll Rd and Bayberry Rd, Effort Pennsylvania",40.9813323,-75.47401669999999
55,306,1390764,"May 8, 2019",Indiana,Indianapolis,Roache St and Rader St,0,4,"Roache St and Rader St, Indianapolis Indiana",39.8046292,-86.1780773
56,307,1389220,"May 7, 2019",Colorado,Littleton (Highlands Ranch),8773 S Ridgeline Blvd,1,8,"8773 S Ridgeline Blvd, Littleton (Highlands Ranch) Colorado",39.55595950000001,-104.997907
57,309,1387170,"May 5, 2019",California,Oceano,1001 Cabrillo Hwy,0,6,"1001 Cabrillo Hwy, Oceano California",35.112489,-120.6255962
58,310,1386510,"May 4, 2019",Missouri,Saint Louis,Union Blvd and Northland Ave,1,4,"Union Blvd and Northland Ave, Saint Louis Missouri",38.6713502,-90.26379279999999
59,313,1386575,"May 4, 2019",Delaware,Wilmington,W 27th St and Tatnall St,0,4,"W 27th St and Tatnall St, Wilmington Delaware",39.75579099999999,-75.5356448
60,318,1383752,"April 30, 2019",North Carolina,Charlotte,9214 South Library Ln,2,4,"9214 South Library Ln, Charlotte North Carolina",35.305966,-80.730937
61,322,1382711,"April 28, 2019",Ohio,West Chester,4637 Wyndtree Dr,4,0,"4637 Wyndtree Dr, West Chester Ohio",39.3506968,-84.46779839999999
62,325,1381734,"April 27, 2019",California,Los Angeles,700 N San Fernando Rd,0,6,"700 N San Fernando Rd, Los Angeles California",34.0895046,-118.2263927
63,331,1370795,"April 14, 2019",Florida,Miami,NW 19th Ave and 60th St,2,2,"NW 19th Ave and 60th St, Miami Florida",25.8297859,-80.2288686
64,337,1369109,"April 11, 2019",California,Los Angeles,E 103rd St and S Main St,1,4,"E 103rd St and S Main St, Los Angeles California",33.9428494,-118.2738951
65,347,1362715,"April 4, 2019",Georgia,Stockbridge,300  Eagle Ct,3,2,"300  Eagle Ct, Stockbridge Georgia",33.5269572,-84.2404131
66,354,1355275,"March 25, 2019",Nevada,North Las Vegas,2400  W San Miguel St,0,5,"2400  W San Miguel St, North Las Vegas Nevada",36.2358916,-115.1758532
67,359,1349256,"March 17, 2019",Georgia,Rochelle,Dennis St,1,3,"Dennis St, Rochelle Georgia",31.9527985,-83.4683149
68,360,1348793,"March 17, 2019",Nevada,Las Vegas,600 E Fremont St,0,4,"600 E Fremont St, Las Vegas Nevada",36.1693856,-115.13878
69,381,1324279,"February 11, 2019",Texas,Livingston,3628 FM 3126,5,0,"3628 FM 3126, Livingston Texas",30.725292,-95.0579087
70,388,1320286,"February 3, 2019",California,Palm Springs,E Sunny Dunes Rd and El Placer Rd,4,0,"E Sunny Dunes Rd and El Placer Rd, Palm Springs California",33.8122657,-116.5062457
71,392,1312391,"January 26, 2019",Georgia,Albany,300  W Roosevelt,0,4,"300  W Roosevelt, Albany Georgia",31.5814139,-84.1548631
72,406,1302060,"January 16, 2019",Florida,Jacksonville,Emerson St and Spring Park Rd,1,5,"Emerson St and Spring Park Rd, Jacksonville Florida",30.2911022,-81.6257966
73,407,1303303,"January 16, 2019",California,Palmdale,Ranch Center Dr and 40th St W,3,1,"Ranch Center Dr and 40th St W, Palmdale California",34.5833789,-118.2022388
74,411,1292684,"January 4, 2019",Virginia,Hurt,3197 Shula Dr,3,2,"3197 Shula Dr, Hurt Virginia",37.0559889,-79.33295199999999
75,413,1292941,"January 3, 2019",Arizona,Yuma,3800  E County 18½ St,1,3,"3800  E County 18½ St, Yuma Arizona",32.5675966,-114.5654948
76,415,1289877,"January 1, 2019",South Carolina,Columbia,1709 Decker Blvd,0,5,"1709 Decker Blvd, Columbia South Carolina",34.0437454,-80.941347
77,420,1886913,"December 26, 2020",Florida,Tampa,N 20th St and E 7th Ave,2,2,"N 20th St and E 7th Ave, Tampa Florida",27.96025,-82.436748
78,421,1887059,"December 26, 2020",Massachusetts,Lynn,Washington St and Quincy Ter,1,5,"Washington St and Quincy Ter, Lynn Massachusetts",42.467861,-70.953569
79,422,1886849,"December 26, 2020",Florida,Miami,NW 61st St and NW 13th Ave,1,3,"NW 61st St and NW 13th Ave, Miami Florida",25.8311789,-80.218645
80,423,1886372,"December 25, 2020",Florida,Boynton Beach,Martin Luther King Jr Blvd and N Seacrest Blvd,1,4,"Martin Luther King Jr Blvd and N Seacrest Blvd, Boynton Beach Florida",26.5360983,-80.0642731
81,424,1886721,"December 25, 2020",Arkansas,Atkins,5180 Pine Ridge Rd,5,0,"5180 Pine Ridge Rd, Atkins Arkansas",35.1977667,-92.99980160000001
82,426,1885251,"December 22, 2020",Mississippi,Meridian,Jeffrey Acres Rd,5,0,"Jeffrey Acres Rd, Meridian Mississippi",32.2995035,-88.6609658
83,429,1876727,"December 13, 2020",West Virginia,Elkview,1384 Cemetery Hill Dr,4,0,"1384 Cemetery Hill Dr, Elkview West Virginia",38.43352429999999,-81.483313
84,433,1876552,"December 12, 2020",Maryland,Hyattsville (Landover),8600  Old Ardmore Rd,2,2,"8600  Old Ardmore Rd, Hyattsville (Landover) Maryland",38.93945670000001,-76.8598724
85,436,1908063,"December 8, 2020",West Virginia,Williamsburg,611 Flynns Creek Rd,6,0,"611 Flynns Creek Rd, Williamsburg West Virginia",37.992511,-80.5092729
86,440,1870840,"December 5, 2020",North Carolina,Autryville,10101 Gip Rd,0,6,"10101 Gip Rd, Autryville North Carolina",34.922166,-78.62882
87,442,1867006,"December 1, 2020",Pennsylvania,Morrisville,1 Makefield Rd,1,3,"1 Makefield Rd, Morrisville Pennsylvania",40.197289,-74.81502580000002
88,447,1864205,"November 28, 2020",South Carolina,Conway,3800  Golden Key Rd,0,5,"3800  Golden Key Rd, Conway South Carolina",33.9272726,-79.0373499
89,451,1862603,"November 26, 2020",Nevada,Henderson,870 E Lake Mead Pkwy,1,5,"870 E Lake Mead Pkwy, Henderson Nevada",36.0542619,-114.9676079
90,452,1859110,"November 22, 2020",New Jersey,Trenton,Stuyvesant Ave and Hoffman Ave,0,4,"Stuyvesant Ave and Hoffman Ave, Trenton New Jersey",40.234874,-74.781331
91,456,1857439,"November 21, 2020",Illinois,Chicago,W 79th St and S Justine St,0,6,"W 79th St and S Justine St, Chicago Illinois",41.7503653,-87.66223
92,457,1857947,"November 21, 2020",Arizona,Phoenix,35th Ave and Earll Dr,1,4,"35th Ave and Earll Dr, Phoenix Arizona",33.4840608,-112.1343537
93,468,1853089,"November 15, 2020",Georgia,Jonesboro,500 Block of Museum Cir,2,2,"500 Block of Museum Cir, Jonesboro Georgia",33.5412126,-84.3694065
94,472,1852363,"November 14, 2020",California,Riverside,La Sierra Avenue and Tin Mine Road,2,3,"La Sierra Avenue and Tin Mine Road, Riverside California",33.8524585,-117.4627322
95,475,1849308,"November 10, 2020",Florida,Tampa,N 50th St and Sligh Ave,1,7,"N 50th St and Sligh Ave, Tampa Florida",28.0106992,-82.4019225
96,478,1846494,"November 8, 2020",Tennessee,Nashville,2nd Ave N and Commerce St,0,8,"2nd Ave N and Commerce St, Nashville Tennessee",36.1632454,-86.7760574
97,486,1840534,"November 1, 2020",South Carolina,Hollywood,7800  White Point Rd,0,6,"7800  White Point Rd, Hollywood South Carolina",32.6536036,-80.3251263
98,489,1841432,"November 1, 2020",North Carolina,Winston Salem (Winston-salem),3900  Glen Hi Rd,1,3,"3900  Glen Hi Rd, Winston Salem (Winston-salem) North Carolina",36.0623367,-80.15319459999999
99,493,1839576,"October 31, 2020",Washington,Sumner,127th Ave E and Valley Ave E,0,5,"127th Ave E and Valley Ave E, Sumner Washington",47.2040035,-122.2602684
100,505,1834617,"October 24, 2020",Mississippi,Greenwood,W Martin Luther King Dr,2,8,"W Martin Luther King Dr, Greenwood Mississippi",33.509886,-90.1769729
101,506,1832014,"October 22, 2020",Florida,Miami,1830 NW 50 St,1,3,"1830 NW 50 St, Miami Florida",25.8204486,-80.22696839999999
102,508,1831995,"October 22, 2020",Massachusetts,Boston,Columbia Rd and Stanwood St,0,4,"Columbia Rd and Stanwood St, Boston Massachusetts",42.3070034,-71.0765217
103,510,1830875,"October 21, 2020",New York,Brooklyn,Nostrand Ave and Hawthorne St,1,5,"Nostrand Ave and Hawthorne St, Brooklyn New York",40.6578436,-73.9503282
104,521,1825525,"October 16, 2020",Florida,Orlando,2000  N Forsyth Rd,3,1,"2000  N Forsyth Rd, Orlando Florida",28.572415,-81.296269
105,523,1826675,"October 16, 2020",California,San Francisco,200  Scherwin St,1,3,"200  Scherwin St, San Francisco California",37.71075099999999,-122.4114918
106,530,1823101,"October 10, 2020",South Carolina,Kingstree,55 Williamsburg County Hwy,0,8,"55 Williamsburg County Hwy, Kingstree South Carolina",33.685299,-79.8225394
107,533,1816799,"October 7, 2020",Alaska,Anchorage,200  McCarrey St,1,4,"200  McCarrey St, Anchorage Alaska",61.2227728,-149.7922144
108,539,1813583,"October 3, 2020",California,Sacramento,Roanoke Ave and Haywood St,1,3,"Roanoke Ave and Haywood St, Sacramento California",38.6348089,-121.4405959
109,540,1812972,"October 2, 2020",California,Los Angeles,51st St and Hoover St,0,4,"51st St and Hoover St, Los Angeles California",33.9964453,-118.287144
110,549,1806806,"September 27, 2020",Ohio,Sandusky,Hancock St and Neil St,1,3,"Hancock St and Neil St, Sandusky Ohio",41.4489119,-82.70353
111,558,1804511,"September 23, 2020",Georgia,Hampton,1577 Glynn Ct,1,3,"1577 Glynn Ct, Hampton Georgia",33.45023219999999,-84.3403807
112,561,1800549,"September 20, 2020",New York,Corona (Queens),Merrick Blvd and Foch Blvd,0,4,"Merrick Blvd and Foch Blvd, Corona (Queens) New York",40.6870607,-73.7748173
113,562,1800514,"September 20, 2020",Connecticut,Stamford,Ursula Pl and Dale St,1,3,"Ursula Pl and Dale St, Stamford Connecticut",41.0515376,-73.5191997
114,563,1800026,"September 19, 2020",New York,Buffalo,Glenwood Ave and Jefferson Ave,1,4,"Glenwood Ave and Jefferson Ave, Buffalo New York",42.912365,-78.8539656
115,568,1800192,"September 19, 2020",New Jersey,Paterson,Elizabeth St and Getty Ave,0,5,"Elizabeth St and Getty Ave, Paterson New Jersey",40.9002062,-74.1616323
116,581,1793680,"September 12, 2020",North Carolina,Wilson,200  Dewey St,0,5,"200  Dewey St, Wilson North Carolina",35.72027080000001,-77.9283281
117,582,1793771,"September 12, 2020",Pennsylvania,Philadelphia,N 18th St and Dauphin St,0,4,"N 18th St and Dauphin St, Philadelphia Pennsylvania",39.9886906,-75.1622648
118,583,1792624,"September 11, 2020",Louisiana,Donaldsonville,St Elizabeth St and Front St,0,5,"St Elizabeth St and Front St, Donaldsonville Louisiana",30.0977904,-90.9912562
119,587,1787655,"September 7, 2020",New York,Brooklyn,Norstrand Ave and Crown St,0,5,"Norstrand Ave and Crown St, Brooklyn New York",40.666295,-73.9508357
120,588,1788352,"September 7, 2020",California,Aguanga,45125 Highway 371,7,0,"45125 Highway 371, Aguanga California",33.4576336,-116.8585716
121,589,1787222,"September 7, 2020",Indiana,Indianapolis,W 38th St and Graceland Ave,1,4,"W 38th St and Graceland Ave, Indianapolis Indiana",39.8249149,-86.1627769
122,590,1786855,"September 6, 2020",Georgia,Sparta,Faye St and Lee St,1,6,"Faye St and Lee St, Sparta Georgia",33.2866722,-82.9668628
123,591,1786920,"September 6, 2020",Illinois,Chicago,S Kingston Ave and E 77th St,0,4,"S Kingston Ave and E 77th St, Chicago Illinois",41.7554138,-87.5626846
124,600,1785713,"September 5, 2020",Florida,Williston,Co Rd 318 and US-27 Alt,0,6,"Co Rd 318 and US-27 Alt, Williston Florida",29.3873705,-82.4474255
125,604,1784570,"September 3, 2020",Arkansas,Hensley,Woodson Lateral Rd and I-530,1,3,"Woodson Lateral Rd and I-530, Hensley Arkansas",34.5483982,-92.2577917
126,609,1783928,"September 2, 2020",California,Oakland,Kerwin Ave and 105th Ave,0,4,"Kerwin Ave and 105th Ave, Oakland California",37.7298289,-122.183395
127,614,1780266,"August 30, 2020",Texas,San Antonio,S Olive St and Aransas Ave,2,2,"S Olive St and Aransas Ave, San Antonio Texas",29.4056121,-98.471772
128,619,1780228,"August 29, 2020",Nevada,Las Vegas,777 E Twain Ave,2,2,"777 E Twain Ave, Las Vegas Nevada",36.1212895,-115.1464637
129,626,1776905,"August 26, 2020",South Carolina,Hilton Head Island,Muddy Creek Rd and Spanish Wells Rd,0,4,"Muddy Creek Rd and Spanish Wells Rd, Hilton Head Island South Carolina",32.1862533,-80.7676015
130,634,1772680,"August 23, 2020",Tennessee,Somerville,1100  Brewer Rd,1,4,"1100  Brewer Rd, Somerville Tennessee",35.3397012,-89.4694729
131,637,1772934,"August 23, 2020",Colorado,Pueblo,2000  Longhorn Point,0,6,"2000  Longhorn Point, Pueblo Colorado",38.5355491,-104.6987365
132,641,1772174,"August 22, 2020",Alabama,Bessemer (Hueytown),Allison Bonnet Memorial Dr and Rutledge Dr,1,3,"Allison Bonnet Memorial Dr and Rutledge Dr, Bessemer (Hueytown) Alabama",33.4595147,-86.9471174
133,644,1768125,"August 18, 2020",Pennsylvania,Philadelphia,30th St and Cumberland St,1,4,"30th St and Cumberland St, Philadelphia Pennsylvania",39.9941673,-75.1808741
134,645,1767851,"August 18, 2020",New York,Corona (Queens),35-35 21st St,0,4,"35-35 21st St, Corona (Queens) New York",40.7600591,-73.9354255
135,647,1768683,"August 17, 2020",Ohio,Cleveland,Dove Ave and E 102nd St,0,5,"Dove Ave and E 102nd St, Cleveland Ohio",41.4522938,-81.614053
136,648,1766574,"August 17, 2020",New York,Brooklyn,Atlantic Ave and Hinsdale St,0,4,"Atlantic Ave and Hinsdale St, Brooklyn New York",40.6755387,-73.90161189999999
137,655,1765920,"August 16, 2020",Oklahoma,Oklahoma City,SW 59th St and Agnew Ave,0,4,"SW 59th St and Agnew Ave, Oklahoma City Oklahoma",35.4061855,-97.55512569999999
138,656,1765336,"August 15, 2020",Michigan,Belleville,24914 Martinsville Rd,4,0,"24914 Martinsville Rd, Belleville Michigan",42.12110010000001,-83.46099989999999
139,657,1765499,"August 15, 2020",Pennsylvania,Philadelphia,N 10th St and Brown St,0,5,"N 10th St and Brown St, Philadelphia Pennsylvania",39.9662262,-75.15352759999999
140,659,1765705,"August 15, 2020",Connecticut,New Haven,Rosette St and Hurlburt St,1,5,"Rosette St and Hurlburt St, New Haven Connecticut",41.2927581,-72.9374273
141,664,1761557,"August 11, 2020",California,Torrance,22904 Lockness Ave,0,5,"22904 Lockness Ave, Torrance California",33.8172085,-118.3053263
142,666,1759779,"August 9, 2020",Ohio,Toledo,Monroe St and N Detroit Ave,0,6,"Monroe St and N Detroit Ave, Toledo Ohio",41.6645981,-83.5703139
143,679,1754613,"August 4, 2020",California,Beverly Hills,13200 Mulholland Dr,1,4,"13200 Mulholland Dr, Beverly Hills California",34.1270274,-118.4207777
144,690,1750611,"July 30, 2020",Florida,Tampa,I-275 and Westshore Blvd,0,5,"I-275 and Westshore Blvd, Tampa Florida",27.9574141,-82.5354588
145,691,1750548,"July 30, 2020",Florida,Miami Gardens,16701 NW 42 Ave,0,5,"16701 NW 42 Ave, Miami Gardens Florida",25.9261193,-80.2682411
146,700,1746658,"July 26, 2020",Texas,Mount Enterprise,1039 FM 1798,0,4,"1039 FM 1798, Mount Enterprise Texas",31.9941387,-94.72888999999999
147,707,1746430,"July 25, 2020",Colorado,Denver,East 33rd Ave and Hudson St,2,3,"East 33rd Ave and Hudson St, Denver Colorado",39.7637987,-104.9240282
148,710,1744407,"July 24, 2020",Georgia,Atlanta,Sunset Ave NW and Lester St NW,2,2,"Sunset Ave NW and Lester St NW, Atlanta Georgia",33.7588545,-84.409949
149,711,1743168,"July 23, 2020",Virginia,Fairfield,3700  Meadowbridge Rd,1,3,"3700  Meadowbridge Rd, Fairfield Virginia",37.8792991,-79.2894783
150,713,1744332,"July 23, 2020",Illinois,Chicago,120th St and Prairie Ave,2,4,"120th St and Prairie Ave, Chicago Illinois",41.6762837,-87.6165377
151,717,1740615,"July 20, 2020",Illinois,Chicago,S Lawndale Ave and W Douglas Blvd,0,5,"S Lawndale Ave and W Douglas Blvd, Chicago Illinois",41.862362,-87.7177384
152,718,1739920,"July 19, 2020",Michigan,Detroit,McKinney St and Meuse St,1,3,"McKinney St and Meuse St, Detroit Michigan",42.421886,-82.942038
153,719,1739571,"July 19, 2020",Nebraska,Omaha,28th St and T Ave,0,8,"28th St and T Ave, Omaha Nebraska",41.2055686,-95.95499629999999
154,721,1739434,"July 19, 2020",Illinois,Peoria,NE Water St and Hamilton Blvd,0,13,"NE Water St and Hamilton Blvd, Peoria Illinois",40.69069349999999,-89.58624429999999
155,725,1739097,"July 17, 2020",Ohio,Columbus,E 6th Ave and Summit St,0,4,"E 6th Ave and Summit St, Columbus Ohio",39.9890927,-83.0018846
156,727,1736508,"July 16, 2020",Tennessee,Nashville,S 7th St and Sylvan St,0,5,"S 7th St and Sylvan St, Nashville Tennessee",36.1681686,-86.7572402
157,729,1735326,"July 15, 2020",New York,Brooklyn,President St and Franklin Ave,1,5,"President St and Franklin Ave, Brooklyn New York",40.668902,-73.95861099999999
158,730,1735573,"July 14, 2020",Missouri,Saint Joseph,S 18th St and Charles St,0,5,"S 18th St and Charles St, Saint Joseph Missouri",39.7650532,-94.8387482
159,731,1735470,"July 14, 2020",North Carolina,Durham,200 Block of S Benjamine St,0,8,"200 Block of S Benjamine St, Durham North Carolina",35.9852642,-78.8687352
160,735,1732993,"July 12, 2020",New York,Brooklyn,Madison St and Marcus Garvey Blvd,1,3,"Madison St and Marcus Garvey Blvd, Brooklyn New York",40.6861038,-73.93866539999999
161,741,1732532,"July 12, 2020",Mississippi,Como,2965 Hunter Chapel Road,2,4,"2965 Hunter Chapel Road, Como Mississippi",34.5531485,-89.8807507
162,744,1727743,"July 7, 2020",Virginia,Alexandria,7900  Janna Lee Ave,0,5,"7900  Janna Lee Ave, Alexandria Virginia",38.7461032,-77.0947807
163,745,1728683,"July 7, 2020",New Jersey,Paterson,Harrison St and Carroll St,4,3,"Harrison St and Carroll St, Paterson New Jersey",40.922841,-74.1615745
164,752,1725690,"July 5, 2020",Georgia,Atlanta,200  Auburn Ave,2,13,"200  Auburn Ave, Atlanta Georgia",33.7557353,-84.38114809999999
165,753,1725946,"July 5, 2020",Missouri,Columbia,Volunteer Dr and Grace Ln,2,3,"Volunteer Dr and Grace Ln, Columbia Missouri",38.9503079,-92.2559381
166,758,1725635,"July 5, 2020",Pennsylvania,Ephrata,6 Blackberry Ln,0,4,"6 Blackberry Ln, Ephrata Pennsylvania",40.18474399999999,-76.15222
167,759,1726034,"July 5, 2020",Illinois,Freeport,900  S Carroll Ave,1,5,"900  S Carroll Ave, Freeport Illinois",42.2909707,-89.6147519
