,incident_id,incident_date,state,city_county,street_address,killed,injured,full_address
97,1519090,"October 3, 2019",North Carolina,Roxboro,700 South Foushee St,1,3,"700 South Foushee St, Roxboro North Carolina"
98,1518859,"October 3, 2019",Missouri,Marshall,S Olson Ave,1,3,"S Olson Ave, Marshall Missouri"
99,1517804,"October 1, 2019",Missouri,Saint Louis,Leonor K. Sullivan Blvd and Poplar St,0,4,"Leonor K. Sullivan Blvd and Poplar St, Saint Louis Missouri"
100,1515312,"September 29, 2019",Illinois,Round Lake (Round Lake Park),500  Fairlawn Ave,1,3,"500  Fairlawn Ave, Round Lake (Round Lake Park) Illinois"
101,1515242,"September 29, 2019",Wisconsin,Milwaukee,1500  N 29th St,0,4,"1500  N 29th St, Milwaukee Wisconsin"
102,1515128,"September 29, 2019",Florida,Jacksonville,2200  Clemente Dr,0,4,"2200  Clemente Dr, Jacksonville Florida"
103,1517360,"September 29, 2019",Kansas,Claflin,1500  NE 100th Rd,0,4,"1500  NE 100th Rd, Claflin Kansas"
104,1515327,"September 29, 2019",Texas,Beaumont,4100  Highland Ave,4,0,"4100  Highland Ave, Beaumont Texas"
105,1511999,"September 24, 2019",Illinois,Chicago,2000  South Hoyne Ave,1,3,"2000  South Hoyne Ave, Chicago Illinois"
106,1510411,"September 23, 2019",Indiana,Gary,1600  Connecticut St,2,2,"1600  Connecticut St, Gary Indiana"
107,1509721,"September 22, 2019",Missouri,Kansas City,2111 Television Plaza,0,5,"2111 Television Plaza, Kansas City Missouri"
108,1509411,"September 21, 2019",Louisiana,New Orleans,Poland Ave and St. Claude Ave,0,4,"Poland Ave and St. Claude Ave, New Orleans Louisiana"
109,1508804,"September 21, 2019",South Carolina,Lancaster,1399 Old Charlotte Rd,2,8,"1399 Old Charlotte Rd, Lancaster South Carolina"
110,1509510,"September 21, 2019",Indiana,Indianapolis,101 W Maryland St,0,6,"101 W Maryland St, Indianapolis Indiana"
111,1512486,"September 21, 2019",Ohio,Cleveland,3616 East 144th St,4,0,"3616 East 144th St, Cleveland Ohio"
112,1508859,"September 20, 2019",Louisiana,New Orleans,Canal Blvd and City Park Ave,1,5,"Canal Blvd and City Park Ave, New Orleans Louisiana"
113,1507939,"September 19, 2019",District of Columbia,Washington,1300  Columbia Rd NW,1,5,"1300  Columbia Rd NW, Washington District of Columbia"
114,1507156,"September 18, 2019",Illinois,Chicago,4200  W Madison St,3,1,"4200  W Madison St, Chicago Illinois"
115,1507092,"September 18, 2019",California,Wilmington,800  Bayview Ave,2,2,"800  Bayview Ave, Wilmington California"
116,1505354,"September 16, 2019",Wyoming,Cheyenne,3436 E 11th St,2,2,"3436 E 11th St, Cheyenne Wyoming"
117,1504030,"September 14, 2019",Missouri,Saint Louis,5200  Tennessee Ave,1,3,"5200  Tennessee Ave, Saint Louis Missouri"
