,index,incident_id,incident_date,state,city_county,street_address,killed,injured,full_address,lat,long
167,167,1726034,5-Jul-20,Illinois,Freeport,900  S Carroll Ave,1,5,"900  S Carroll Ave, Freeport Illinois",42.2909707,-89.6147519
168,168,1725571,5-Jul-20,Michigan,Detroit,San Juan Dr and W McNichols Rd,2,4,"San Juan Dr and W McNichols Rd, Detroit Michigan",42.4171287,-83.1461773
169,169,1725025,4-Jul-20,Maryland,Temple Hills (Marlow Heights),4600 Dallas Pl,1,3,"4600 Dallas Pl, Temple Hills (Marlow Heights) Maryland",38.8255809,-76.9485386
170,170,1723897,3-Jul-20,Alabama,Birmingham (Hoover),2000 Riverchase Galleria,1,3,"2000 Riverchase Galleria, Birmingham (Hoover) Alabama",33.3790316,-86.8083523
171,171,1722839,2-Jul-20,New Jersey,Paterson,N Main St and Jefferson St,1,4,"N Main St and Jefferson St, Paterson New Jersey",40.8617436,-74.1265322
172,172,1722142,1-Jul-20,California,Oakland,MacArthur Fwy and 106th Ave,0,4,"MacArthur Fwy and 106th Ave, Oakland California",37.7429551,-122.1486955
173,173,1722317,30-Jun-20,Arkansas,Greenbrier,123 Laramie Rd,0,4,"123 Laramie Rd, Greenbrier Arkansas",35.2479435,-92.2532517
174,174,1720834,29-Jun-20,California,Sylmar,Osborne St and Foothill Blvd,0,4,"Osborne St and Foothill Blvd, Sylmar California",34.2735503,-118.3938042
175,175,1719668,28-Jun-20,Alabama,Akron,Co Rd 21,0,7,"Co Rd 21, Akron Alabama",32.8568549,-87.6818873
176,176,1717543,25-Jun-20,Pennsylvania,Philadelphia,Emerald St and E Atlantic St,0,4,"Emerald St and E Atlantic St, Philadelphia Pennsylvania",39.9984267,-75.1032887
177,177,1715231,23-Jun-20,Florida,Lake Worth,Lantana Rd and Edgecliff Ave,0,5,"Lantana Rd and Edgecliff Ave, Lake Worth Florida",26.5894309,-80.1377462
178,178,1712876,22-Jun-20,Minnesota,Minneapolis,N Morgan Ave and N 16th Ave,0,4,"N Morgan Ave and N 16th Ave, Minneapolis Minnesota",44.99522,-93.304467
179,179,1711747,21-Jun-20,New York,Buffalo,W Ferry St and Niagara St,0,4,"W Ferry St and Niagara St, Buffalo New York",42.915199,-78.8994539
