Incident ID,State,City Or County,Address,# Killed,# Injured,Full_Address,Latitude,Longitude,Date,Year
1755566,Wisconsin,Madison,333 S Rosa Rd,0,4,"333 S Rosa Rd, Madison Wisconsin",43.06290366666666,-89.47832911111111,August 4, 2020
1755297,District of Columbia,Washington,5400  Georgia Ave NW,0,4,"5400  Georgia Ave NW, Washington District of Columbia",38.955262,-77.028003,August 4, 2020
1754640,Missouri,Saint Louis,5300  Bircher Blvd,1,3,"5300  Bircher Blvd, Saint Louis Missouri",38.688115,-90.251733,August 4, 2020
1754672,Connecticut,Hartford,818 Windsor St,1,5,"818 Windsor St, Hartford Connecticut",41.7899986,-72.6684319,August 4, 2020
1754363,New York,Bronx,450 St Ann's Ave,0,4,"450 St Ann's Ave, Bronx New York",40.81186176635514,-73.91423343925234,August 3, 2020
1753320,Pennsylvania,Philadelphia,3100  Weymouth St,0,4,"3100  Weymouth St, Philadelphia Pennsylvania",39.995488,-75.117296,August 2, 2020
1753561,New Jersey,Newark,200  6th Ave,0,5,"200  6th Ave, Newark New Jersey",40.75615548275862,-74.18607765517243,August 2, 2020
1752100,Illinois,Chicago,100  N Laporte Ave,1,4,"100  N Laporte Ave, Chicago Illinois",41.883205,-87.749159,August 1, 2020
1753235,Texas,Pointblank,4411 Counts Rd,2,3,"4411 Counts Rd, Pointblank Texas",30.74811199837565,-95.21901162156549,August 1, 2020
1751949,Colorado,Denver,3000  W Virginia Ave,1,4,"3000  W Virginia Ave, Denver Colorado",39.707572,-105.025238,August 1, 2020
1752790,Alabama,Montgomery,1100  Eastern Blvd,0,4,"1100  Eastern Blvd, Montgomery Alabama",32.3272497,-86.2401396,August 1, 2020
1752019,Pennsylvania,Philadelphia,2500  Ingersoll St,2,2,"2500  Ingersoll St, Philadelphia Pennsylvania",39.976312,-75.176862,July 31, 2020
1750250,Michigan,Detroit,5200  Canton St,0,4,"5200  Canton St, Detroit Michigan",42.374295,-83.022426,July 29, 2020
1749873,Ohio,Elyria,537 Willow Park Rd,5,0,"537 Willow Park Rd, Elyria Ohio",41.383729200603575,-82.11427101491965,July 29, 2020
1749746,Missouri,Saint Louis,5500  Floy Ave,3,2,"5500  Floy Ave, Saint Louis Missouri",38.708065,-90.257294,July 29, 2020
1749281,Delaware,Wilmington,1100  Beech St,2,2,"1100  Beech St, Wilmington Delaware",39.738206,-75.566528,July 28, 2020
1749535,Wisconsin,Milwaukee,2600  W Atkinson Ave,0,4,"2600  W Atkinson Ave, Milwaukee Wisconsin",43.096515,-87.945855,July 28, 2020
1748134,Washington,Federal Way,2410 S 312th St,1,3,"2410 S 312th St, Federal Way Washington",47.32239316617167,-122.30251612199484,July 27, 2020
1747700,Illinois,Chicago,705 E 92nd Pl,1,4,"705 E 92nd Pl, Chicago Illinois",41.72650279781471,-87.60668831691311,July 27, 2020
1746441,Michigan,Flint,4462 Corunna Rd,1,3,"4462 Corunna Rd, Flint Michigan",43.00212723026316,-83.77052888157894,July 26, 2020
1746282,Kentucky,Louisville,I-64,1,3,"I-64, Louisville Kentucky",38.2768762,-85.8203253,July 26, 2020
1746417,Colorado,Commerce City,6300  Ivanhoe St,1,3,"6300  Ivanhoe St, Commerce City Colorado",39.811185,-104.920958,July 26, 2020
1748023,Arkansas,Magnolia,1000  W Monroe St,0,4,"1000  W Monroe St, Magnolia Arkansas",33.26436434149236,-93.25306942836718,July 26, 2020
1746582,Michigan,Flint,4813 Clio Rd,0,6,"4813 Clio Rd, Flint Michigan",43.058102,-83.733281,July 25, 2020
1745903,North Carolina,Raleigh,503 Bragg St,0,4,"503 Bragg St, Raleigh North Carolina",35.765796,-78.632536,July 25, 2020
1746160,Florida,Miami,2900  Northwest 51st St,1,3,"2900  Northwest 51st St, Miami Florida",25.8205684,-80.2427800243618,July 25, 2020
1746674,Texas,Dallas,525 S Riverfront Blvd,0,4,"525 S Riverfront Blvd, Dallas Texas",32.7693768,-96.81126402135374,July 25, 2020
1745737,California,Manteca,4447 Woodward Ave,0,7,"4447 Woodward Ave, Manteca California",37.775761,-121.201137,July 25, 2020
1743488,Virginia,Petersburg,Wesley St,0,4,"Wesley St, Petersburg Virginia",37.216612,-77.409919,July 23, 2020
1743108,Michigan,Warren,28200  Lawson St,0,4,"28200  Lawson St, Warren Michigan",42.4643892,-82.9777377,July 22, 2020
1741838,Illinois,Chicago,1018 W 79th St,0,15,"1018 W 79th St, Chicago Illinois",41.75079035,-87.6496915125546,July 21, 2020
1740533,Virginia,Richmond,6850 Forest Hill Ave,1,4,"6850 Forest Hill Ave, Richmond Virginia",37.53844715,-77.52110760000001,July 20, 2020
1740013,Illinois,Chicago,11300  South Carpenter St,2,3,"11300  South Carpenter St, Chicago Illinois",41.6885179,-87.64862526962982,July 19, 2020
1739658,District of Columbia,Washington,3600  14th St NW,1,8,"3600  14th St NW, Washington District of Columbia",38.9364355,-77.032968,July 19, 2020
1739917,Michigan,Detroit,9122 Dexter Ave,4,0,"9122 Dexter Ave, Detroit Michigan",42.36973034693877,-83.11722279591837,July 19, 2020
1738635,Illinois,Chicago,1600  S Keeler Ave,1,4,"1600  S Keeler Ave, Chicago Illinois",41.858675,-87.729947,July 18, 2020
1739413,Florida,Madison,SW Louisiana Terrace,0,4,"SW Louisiana Terrace, Madison Florida",32.397692,-91.188204,July 17, 2020
1736383,Louisiana,Shreveport,6725 Buncombe Rd,1,3,"6725 Buncombe Rd, Shreveport Louisiana",32.4141907871838,-93.8836042167449,July 15, 2020
1733702,New York,Brooklyn,Remsen Ave,0,6,"Remsen Ave, Brooklyn New York",40.6355996,-73.9008128,July 13, 2020
1734064,Kentucky,Louisville,1200  W Hill St,1,3,"1200  W Hill St, Louisville Kentucky",38.2272155,-85.7754851,July 13, 2020
1734058,Washington,Kent,23201 Pacific Hwy South,0,6,"23201 Pacific Hwy South, Kent Washington",47.3936528,-122.29557396174896,July 13, 2020
1732485,Louisiana,Baton Rouge,4718 Plank Rd,1,7,"4718 Plank Rd, Baton Rouge Louisiana",30.49306125,-91.155320125,July 12, 2020
1732688,Michigan,Lansing,3029 BeauJardin Dr,0,5,"3029 BeauJardin Dr, Lansing Michigan",42.684566,-84.507645,July 12, 2020
1732365,Florida,Fort Lauderdale,3000  NW 12th Ct,2,2,"3000  NW 12th Ct, Fort Lauderdale Florida",26.1410007,-80.1633554,July 12, 2020
1733188,Illinois,Chicago,700  W 66th Pl,1,3,"700  W 66th Pl, Chicago Illinois",41.773497,-87.642807,July 12, 2020
1732229,Illinois,Chicago,1100  N Lawndale Ave,1,4,"1100  N Lawndale Ave, Chicago Illinois",41.9010195,-87.71921196847458,July 12, 2020
1731349,New York,Rochester,485 N Clinton Ave,0,6,"485 N Clinton Ave, Rochester New York",43.1669771,-77.6112202,July 11, 2020
1732321,Delaware,Wilmington,600  N Pine St,0,5,"600  N Pine St, Wilmington Delaware",39.739464,-75.543967,July 11, 2020
1727567,Illinois,Chicago,1305 W 76th St,0,6,"1305 W 76th St, Chicago Illinois",41.75516015,-87.65671567348535,July 6, 2020
1725883,Illinois,Chicago,3700  W Jackson Blvd,0,4,"3700  W Jackson Blvd, Chicago Illinois",41.8774916,-87.6912769,July 5, 2020
1725802,Iowa,Davenport,1000  W 3rd St,1,3,"1000  W 3rd St, Davenport Iowa",41.52245745454545,-90.58754514141414,July 5, 2020
1725167,New York,New York (Manhattan),549 Academy St,0,5,"549 Academy St, New York (Manhattan) New York",40.8628867,-73.92246177804714,July 5, 2020
1725108,South Carolina,Greenville,1701 White Horse Rd,2,8,"1701 White Horse Rd, Greenville South Carolina",34.794080050000005,-82.42025024976623,July 5, 2020
1726770,Arkansas,Helena,1317 Perry St,1,3,"1317 Perry St, Helena Arkansas",34.5296177160107,-90.60062249590749,July 5, 2020
1725379,Wisconsin,Milwaukee,5800  W Hope Ave,0,4,"5800  W Hope Ave, Milwaukee Wisconsin",43.093677,-87.98666,July 5, 2020
1726446,Texas,Houston,Service Rd and Holcombe Blvd,0,4,"Service Rd and Holcombe Blvd, Houston Texas",29.7061465,-95.4302439,July 5, 2020
1725327,Maryland,Cambridge,700  Weaver Ave,0,4,"700  Weaver Ave, Cambridge Maryland",38.566703,-76.089648,July 5, 2020
1725145,Illinois,Chicago,1500  S Millard Ave,1,5,"1500  S Millard Ave, Chicago Illinois",41.860663,-87.716583,July 5, 2020
1727515,Mississippi,Greenville,Union St,0,4,"Union St, Greenville Mississippi",33.4173296,-91.0563379,July 5, 2020
1725670,Georgia,Atlanta,1600  Lakewood Ave,0,5,"1600  Lakewood Ave, Atlanta Georgia",33.6991263,-84.392375,July 4, 2020
1725407,Massachusetts,Lynn,134 Fayette St,1,4,"134 Fayette St, Lynn Massachusetts",42.47124625,-70.93807985000001,July 4, 2020
1724231,Michigan,Detroit,8340 Homer St,2,3,"8340 Homer St, Detroit Michigan",42.30403949246232,-83.12580181909549,July 4, 2020
1725098,Illinois,Chicago,8300  S Kingston Ave,1,3,"8300  S Kingston Ave, Chicago Illinois",41.744003,-87.562579,July 4, 2020
1725081,Illinois,Chicago,6100  S Carpenter St,4,4,"6100  S Carpenter St, Chicago Illinois",41.783172,-87.651058,July 4, 2020
1724887,Louisiana,Baton Rouge,11300  Greenwell Springs Rd,0,4,"11300  Greenwell Springs Rd, Baton Rouge Louisiana",30.4940674750622,-91.05655743439236,July 4, 2020
1724219,Mississippi,Jackson,6340 Ridgewood Ct Dr,1,3,"6340 Ridgewood Ct Dr, Jackson Mississippi",32.3959625,-90.1430988,July 4, 2020
1724273,Maryland,Baltimore,700  S Woodington Rd,0,4,"700  S Woodington Rd, Baltimore Maryland",39.2751187,-76.69005543358168,July 3, 2020
1723184,California,Delano,2100  Oleander St,2,3,"2100  Oleander St, Delano California",35.7850441010101,-119.23971004040403,July 2, 2020
1723352,Massachusetts,Somerville,5 River Rd,0,4,"5 River Rd, Somerville Massachusetts",42.3972495,-71.09330782103265,July 2, 2020
1729506,Louisiana,Lake Charles,1600  Moss St,0,4,"1600  Moss St, Lake Charles Louisiana",30.218897,-93.212707,July 1, 2020
1721964,Iowa,Davenport,1400  Pershing Ave,0,5,"1400  Pershing Ave, Davenport Iowa",41.534187,-90.571282,June 30, 2020
1720781,Georgia,Atlanta,Parkway Dr,1,4,"Parkway Dr, Atlanta Georgia",33.776033,-84.39884086001581,June 30, 2020
1721669,Massachusetts,Boston,14 Circuit St,1,3,"14 Circuit St, Boston Massachusetts",42.323674,-71.084724,June 30, 2020
1720761,Illinois,Chicago,350 W Chicago Ave,0,4,"350 W Chicago Ave, Chicago Illinois",41.8968052,-87.6377642248503,June 30, 2020
1721572,Ohio,Dayton,3500  Stanford Pl,0,4,"3500  Stanford Pl, Dayton Ohio",39.777844,-84.243752,June 30, 2020
1720655,South Dakota,Sioux Falls,902 N Prairie Ave,1,3,"902 N Prairie Ave, Sioux Falls South Dakota",43.55788311111111,-96.73700211111112,June 29, 2020
1719693,Pennsylvania,Philadelphia,1900  E Somerset St,2,2,"1900  E Somerset St, Philadelphia Pennsylvania",39.990139,-75.121548,June 28, 2020
1718966,Illinois,Chicago,3100  S Rhodes Ave,2,2,"3100  S Rhodes Ave, Chicago Illinois",41.838347,-87.613607,June 27, 2020
1718847,California,Red Bluff,10815 State Hwy 99W,3,4,"10815 State Hwy 99W, Red Bluff California",40.147234,-122.215856,June 27, 2020
1718463,Illinois,Peoria,1400  SW Jefferson St,0,4,"1400  SW Jefferson St, Peoria Illinois",40.682648,-89.606426,June 27, 2020
1718238,New York,Brooklyn,Rockaway Pkwy and Ave B,0,4,"Rockaway Pkwy and Ave B, Brooklyn New York",40.6625582,-73.9088634,June 27, 2020
1719645,Arkansas,Blytheville,600  Parkway Dr,3,1,"600  Parkway Dr, Blytheville Arkansas",35.925502,-89.893429,June 27, 2020
1717828,Colorado,Aurora,698 Peoria St,0,5,"698 Peoria St, Aurora Colorado",39.7270501,-104.8442755,June 26, 2020
1718292,California,Fresno,Pico Ave,0,4,"Pico Ave, Fresno California",36.8018776,-119.6663551,June 26, 2020
1717173,Arizona,Phoenix,5035 W McDowell Rd,0,4,"5035 W McDowell Rd, Phoenix Arizona",33.4659641,-112.1726089,June 26, 2020
1716944,Connecticut,Bridgeport,527 Huntington Rd,1,3,"527 Huntington Rd, Bridgeport Connecticut",41.2002227,-73.1821103,June 25, 2020
1715616,Tennessee,Jackson,Melwood St,0,4,"Melwood St, Jackson Tennessee",35.640962,-88.8163247,June 24, 2020
1714504,Illinois,Chicago,9100  South Ellis Ave,0,4,"9100  South Ellis Ave, Chicago Illinois",41.72929305,-87.60010554642227,June 23, 2020
1712342,North Carolina,Charlotte,1800  Beatties Ford Rd,4,5,"1800  Beatties Ford Rd, Charlotte North Carolina",35.3451262,-80.8835594,June 22, 2020
1713075,California,San Francisco,200  Leavenworth St,0,5,"200  Leavenworth St, San Francisco California",37.782929,-122.413976,June 22, 2020
1713790,New York,Brooklyn,Sterling St and Brooklyn Ave,0,5,"Sterling St and Brooklyn Ave, Brooklyn New York",40.6630955,-73.9508689,June 22, 2020
1712898,Minnesota,Minneapolis,627 W Broadway,0,4,"627 W Broadway, Minneapolis Minnesota",44.999056,-93.28737663636365,June 22, 2020
