Incident ID,State,City Or County,Address,# Killed,# Injured,Date,Year,Latitude,Longitude
1943986,Pennsylvania,Erie,2105 Buffalo Rd,2,3,March 3, 2021,42.129223,-80.08506
1934077,Louisiana,Metairie,6719 Airline Dr,3,2,February 20, 2021,29.984093,-90.152855
1933975,Colorado,Grand Junction,1000 block of Teller Ave,1,3,February 20, 2021,39.071445,-108.549728
1928557,California,San Francisco,3rd St and Quesada Ave,0,6,February 13, 2021,37.773972,-122.431297
1928205,North Carolina,Cary,101 Reed St,1,3,February 13, 2021,35.791538,-78.78112
1921939,Tennessee,Murfreesboro,Ewing Blvd and West St,1,4,February 6, 2021,35.846111,-86.391945
1922354,Washington,Tacoma,3634 E McKinley Ave,1,3,February 6, 2021,47.258728,-122.465973
1920771,North Carolina,High Point,2912 W English Rd,2,3,February 4, 2021,35.970554,-79.997498
1913708,California,Santa Ana,1614 S Standard Ave,0,4,January 27, 2021,33.745571,-117.867836
1898261,Illinois,Evanston,100 Asbury Ave,6,2,January 9, 2021,42.045597,-87.688568
1893877,California,Santa Barbara,1200 block of Liberty St,2,2,January 3, 2021,34.42083,-119.698189
1891720,Illinois,Galesburg,1000 block of Monroe St,0,4,January 1, 2021,40.953976,-90.362549
